string	english (円,원,$,£,€,zł)	comment. Include all currency characters here to get them included in used_chars.txt, because they're retrieved automatically from the 3DS eShop.

# ----- Generic ----
next	Далi
menu_inventory_slot_value	$%1%{image money_small}
menu_inventory_totalvalue	$%1%
menu_inventory_totalvalue_text	Загальна вартiсть:
menu_inventory_discard_prompt	Викинути

menu_inventory_infobox_header	%1% x %2%
menu_inventory_infobox_header_empty	Звiльнити комiрку рюкзака
menu_inventory_infobox_header_money	$%1%{image money}
menu_inventory_infobox_text_empty	У цiй комiрцi вмiщуэться до 4 одиниць однiэï руди або один дорогоцiнний камiнь.

# ------ System Menu -----
menu_system_header	Система

menu_system_selfdestruct	Самознищення
menu_system_selfdestruct_desc	Запустiть самознищення, щоб повернутися в мiсто.
menu_system_selfdestruct_checkpoint	Самознищення
menu_system_selfdestruct_checkpoint_desc	Запустiть самознищення, щоб повернутися до останньоï мiтки.
menu_system_town_portal	{image town_portal} Портал {image town_portal}
menu_system_town_portal_desc	Телепортуйтеся назад у мiсто, використовуючи модифiкацiю Портал порятунку.
menu_system_difficulty	Складнiсть
menu_system_difficulty_desc	Виберiть складнiсть.
menu_system_options	Параметри
menu_system_options_desc	Змiна налаштувань, елементiв керування, мови тощо.
menu_system_exit	Вихiд
menu_system_exit_desc	Вийти у головне меню. Незбережений прогрес буде втрачено.

popup_exittomenu_title	Вихiд
popup_exittomenu_text	Незбережений прогрес буде втрачено. Повернутися в головне меню?\nЗ минулого збереження: %1% хв., %2% сек.
popup_selfdestruct_title	Самознищення
popup_selfdestruct_text	Всi вашi ресурси можуть бути втраченi, а ви повернетеся в мiсто. Самознищитися?
popup_selfdestruct_checkpoint_text	Ви повернетеся до останньоï мiтки. Самознищитися?
popup_town_portal_title	Телепорт
popup_town_portal_text	Перенестися в мiсто?
popup_town_portal_disabled_title	Помилування неможливе
popup_town_portal_disabled_text	Тут не можна використати Портал порятунку. Для використання потрiбно стояти на твердiй поверхнi, далеко вiд ворогiв i не всерединi печери.

# ------ Options Menu -----
menu_options	Параметри
menu_options_changing_language	Змiна мови
menu_options_pleasewait	Хвилиночку...
menu_options_reset	Скинути всi налаштування
menu_options_category_game	Гра
menu_options_category_game_desc	Змiнити iгровi налаштування.
menu_options_category_video	Вiдео
menu_options_category_video_desc	Змiнити налаштування вiдео.
menu_options_category_video2	Дод. вiдео
menu_options_category_video2_desc	Змiнити додатковi налаштування вiдео.
menu_options_category_sound	Звук
menu_options_category_sound_desc	Змiнити налаштування звуку.
menu_options_category_language	Мова
menu_options_category_language_desc	Змiнити мову.
menu_options_category_input	Керування
menu_options_category_input_desc	Налаштуйте елементи керування.
menu_options_category_back	Назад
menu_options_category_back_desc	До попереднього меню.
menu_options_sound_music	Гучнiсть музики
menu_options_sound_sound	Гучнiсть ефектiв

menu_options_rumble	Вiбрацiя
menu_options_rumble_desc	Налаштування сили вiбрацiï. Щоб вимкнути, змiстiть повзунок лiворуч до упору.
menu_options_disable_flashing	Вимкнути мерехтiння
menu_options_disable_flashing_desc	Вимикаэ мерехтливе свiтло. Поставте прапорець, а потiм перезапустiть гру.
menu_options_skip_intro	Пропустити довiдку та введення
menu_options_skip_intro_desc	Пропустити екрани вiдомостей та введення перед головним меню.
menu_options_lost_focus_pause	Пауза при втратi фокусу
menu_options_lost_focus_pause_desc	Пауза в грi при втратi фокусу iгрового вiкна.

menu_options_sound_music_desc	Змiнити гучнiсть музики.
menu_options_sound_sound_desc	Змiнити гучнiсть ефектiв.

menu_options_fullscreen	Повний екран
menu_options_fullscreen_desc	Перемикання мiж режимом вiкна та повноекранним режимами.
menu_options_vsync	Вертикальна синхронiзацiя
menu_options_vsync_desc	Вмикаэ вертикальну синхронiзацiю. Скорочуэ розрив зображення та витрату енергiï. Може пiдвищити затримку кадрiв.
menu_options_enable_ao	Навколишня оклюзiя
menu_options_enable_ao_desc	Розсiяне затiнення додаэ подiï достовiрностi. Значно знижуэ продуктивнiсть.
menu_options_enable_bloom	Свiтiння
menu_options_enable_bloom_desc	Вмикаэ ефект свiтiння. Знижуэ продуктивнiсть.
menu_options_gamma	Яскравiсть
menu_options_gamma_desc	Налаштування яскравостi (гами).
menu_options_res_scale	Роздiльна здатнiсть
menu_options_res_scale_desc	Налаштування роздiльноï здатностi. Низьке значення пiдвищуэ продуктивнiсть.
menu_options_safe_area_resize	Регулювання розгортки
menu_options_safe_area_resize_desc	Змiнити розмiр iнтерфейсу пiд зону вiдображення.
menu_options_screen_custom_scale	Масштаб вiкна паузи
menu_options_screen_custom_scale_desc	Змiнити розмiр iнтерфейсу паузи.
menu_options_blackbars	Чорнi межi при широкому екранi
menu_options_blackbars_desc	Бiчнi чорнi смуги в широкому форматi замiсть обрiзання зображення зверху та знизу.
menu_options_hiqualitylight	Свiтлова текстура високоï якостi
menu_options_hiqualitylight_desc	16-бiтна свiтлова текстура. Розмиваэ смуги свiтла. Дещо знижуэ швидкодiю.

menu_options_set_input	Встановити
menu_options_clear_input	Очистити
menu_options_reset_all_inputs	Скидання керування
menu_options_input_move_up	Дивитися/лiзти вгору
menu_options_input_move_up_desc	Дивитися вгору та пiднiматися по драбинах.
menu_options_input_move_down	Дивитися/лiзти вниз
menu_options_input_move_down_desc	Дивитися вниз та спускатися по драбинах.
menu_options_input_move_left	Лiворуч
menu_options_input_move_left_desc	Йти лiворуч.
menu_options_input_move_right	Праворуч
menu_options_input_move_right_desc	Йти праворуч.
menu_options_input_jump	Стрибок
menu_options_input_jump_desc	Стрибок. Утримуйте, щоб стрибнути вище.
menu_options_input_run	Бiг
menu_options_input_run_desc	Утримуйте, щоб бiгти швидше. Потрiбне покращання.
menu_options_input_interact	Взаэмодiя
menu_options_input_interact_desc	Взаэмодiяти з доступними предметами та персонажами.
menu_options_input_talk_to_buddy	Говорити зi супутником
menu_options_input_talk_to_buddy_desc	Розмовляти зi супутником в певних ситуацiях.
menu_options_input_skip	Пропустити
menu_options_input_skip_desc	Натиснiть двiчi, щоб пропускати дiалоги та деякi сцени (наприклад, при продажi руди).
menu_options_input_tool_pickaxe	Вдарити киркою.
menu_options_input_tool_pickaxe_desc	Використовуйте свою кирку.
menu_options_input_tool_pressurebomb	Кинути бомбу
menu_options_input_tool_pressurebomb_desc	Киньте газову бомбу.
menu_options_input_tool_jackhammer	Працювати вiдбiйним молотком
menu_options_input_tool_jackhammer_desc	Утримуйте, щоб використати вiдбiйний молоток.
menu_options_input_tool_hookshot	Використати кiшку
menu_options_input_tool_hookshot_desc	Використовуйте кiшку.

menu_options_reset_text	Повернутися до типових налаштувань?
menu_options_reset_title	Скидання налаштувань
menu_options_reset_controls_text	Повернутися до типових налаштувань керування?
menu_options_reset_controls_title	Скинути налаштування керування

# ------ Collectibles -----

collectible_amulet	Амулет Сiмсамсунгсалябiм
collectible_amulet_desc	Вже точно потужнiший, нiж чотирилисник або кроляча лапка. Очi зловiсно мерехтять. Стаэ спекотно. Зсередини чути спiв?
collectible_amulet_flavor	"""Ша-ла-ла-ла!"""

collectible_cereal	Миска з пластiвцями
collectible_cereal_desc	Колись це була головна страва дня. Тепер - висохлi останки минулого свiту.
collectible_cereal_flavor	"""Скажи менi, що ти ïси..."""


collectible_dead_rat	Rattus norvegicus
collectible_dead_rat_desc	Вони так сусiдять з людьми, що практично зрiднилися з ними. Вражаюче навчаються. Одну навiть вибрали прем'эр-мiнiстром Норвегiï.
collectible_dead_rat_flavor	"""Якщо ти те, що ти ïси, то краще ïсти хороше."""


collectible_fertilizer	Добриво
collectible_fertilizer_desc	Хто б не залишив цю чудову купу, обiд у нього був явно рясний. Вiдчуваються ноти пряних трав - мабуть, прованських.
collectible_fertilizer_flavor	"""Входить - i виходить. Чудово виходить!"""


collectible_scented_candle	Аромосвiчка
collectible_scented_candle_desc	Грiзний козячий череп. Випромiнюэ флюïди жаху, неминучого знищення i... ванiлi?
collectible_scented_candle_flavor	"""Поклик до знищення - це теж творчий поклик."""


collectible_wrapped_gift	Хто Шредiнгера?
collectible_wrapped_gift_desc	О-ля-ля! У цьому акуратному згортку може бути що завгодно. Лялька, м'ячик - або всього лише якась структуралiзацiï простору...
collectible_wrapped_gift_flavor	"""Що всерединi?"""


collectible_holy_toast	Тост забирай
collectible_holy_toast_desc	А ви знали, що Всесвiт часом передаэ нам послання через найбуденнiшi предмети? Цей предмет - не з таких.
collectible_holy_toast_flavor	"""Колобок, колобок, я тебе з'ïм!"""


collectible_lime_snowman	Лаймовий снiговик
collectible_lime_snowman_desc	Боягузик зайчик сiренький пiд пальмочкою скакав...
collectible_lime_snowman_flavor	"""Все стало навколо кислим, круглим, зеленим..."""


collectible_inflatable_friend	Надувний друг
collectible_inflatable_friend_desc	Самотнiсть - це коли сам себе обiймаэш, коли сумно.
collectible_inflatable_friend_flavor	"""Коли я набираю номер, нiкого немаэ вдома."""


collectible_book_groda	Доктор Квак - дiтям
collectible_book_groda_desc	Знаменитий доктор Квак! У нього знайдеться порада на всi випадки життя.
collectible_book_groda_flavor	"""Забудьте про КВАтастрофи. Пийте КВАс i кисле молоко!"""


collectible_birdie_seeds	Пташка, ням-ням
collectible_birdie_seeds_desc	Це насiння перетворить будь-яку годiвлю у вечiрку. Рiдкiснi ласощi дадуть вам перевагу на ринку.
collectible_birdie_seeds_flavor	"""Синиця в руках не варта нiчого, доки ви не знайдете покупця."""


collectible_straw_doll	Лялька для акупунктури
collectible_straw_doll_desc	Вражаюча робота! Бризки червоноï фарби роблять ïï майже живою.
collectible_straw_doll_flavor	"""Рукодiлля корисне для здоров'я!"""


collectible_glowing_goo	Свiтний слиз
collectible_glowing_goo_desc	Виглядаэ настiльки слизким i дивним, що пхати його в рот явно не варто.
collectible_glowing_goo_flavor	"""Не ïж, незрозумiло чим станеш!"""


collectible_lost_penguin	Фотографiя колишнього коханця
collectible_lost_penguin_desc	Стрибати i танцювати непросто, якщо втратив свою любов.
collectible_lost_penguin_flavor	"""Пiнгвiни люблять раз i назавжди!"""


collectible_old_invitations	Старi невiдкритi запрошення
collectible_old_invitations_desc	Надiï i мрiï. Зiбранi, пiдшитi, пронумерованi. Припадають пилом у забуттi.
collectible_old_invitations_flavor	"""Це нелегко прийняти..."""


collectible_sacred_documentation	Священнi документи
collectible_sacred_documentation_desc	Цi рухомi фiгури колись визначали культуру цiлих поколiнь...
collectible_sacred_documentation_flavor	"""Найтрагiчнiшi повороти долi може змити простий душ."""


collectible_chainsaw	"Пила ""Халло Катце"""
collectible_chainsaw_desc	Популярний бренд техаських модних аксесуарiв.
collectible_chainsaw_flavor	"""Моэ серце розпиляно надвоэ!"""


collectible_toy_rocket	Iграшкова ракета
collectible_toy_rocket_desc	Вперед по рiчцi разом з Гекльберi.
collectible_toy_rocket_flavor	"""Хто знаэ, що чекаэ за поворотом?"""


collectible_monster_plushy	Плюшевий монстр
collectible_monster_plushy_desc	Дитяча iграшка. Хм. Попередження про ризик задухи написано на шумерськiй, давньоэгипетськiй, акадськiй i ще декiлькох стародавнiх мовах.
collectible_monster_plushy_flavor	"""Пнглуi мглунафх Ктулху Р'лайх угахнагл фтагн!"""


collectible_shark_tooth	Акулячий зуб Гiнсу
collectible_shark_tooth_desc	Добре рiже. Погано чиститься
collectible_shark_tooth_flavor	"""Страшний сон стоматолога."""


collectible_rubber_chickens	Мiшок гумових курчат
collectible_rubber_chickens_desc	Зсередини лунаэ какофонiя з писку, квоктання i крикiв. Гамiр досяг роздорiжжя.
collectible_rubber_chickens_flavor	"""Насолода слуху. Насолода... Ви куштували курку в карамелi?"""


collectible_cake	Торт
collectible_cake_desc	Iстина дня: Немаэ нiчого кращого хорошого тортика.
collectible_cake_flavor	"""Хiба що два хороших тортика."""


collectible_banana_peels	Консервованi банановi шкiрки
collectible_banana_peels_desc	Чому шкiрки? Тому що це небанально!
collectible_banana_peels_flavor	"""Шкiрка може знадобитися в будь-який момент, шьйорт побьэрi!"""


collectible_theremin	Терменвокс
collectible_theremin_desc	Майбутнэ електронноï музики! Водiть руками над iнструментом i витягайте чарiвнi звуки, схожi на голос людини, що впала в колодязь. Схоже, нiхто його не чiпав вже багато рокiв...
collectible_theremin_flavor	"""За оперну зiрку вам не зiйти..."""


collectible_weird_stone	Дивний камiнь
collectible_weird_stone_desc	Дивна форма. Нагадуэ не то колапсуючу туманнiсть, не то спiваючий хор.
collectible_weird_stone_flavor	"""Не можеш взяти потрiбну ноту - винувать зiрки!"""


collectible_action_figure	Фiгурка кiшки-нiндзя
collectible_action_figure_desc	Вливайся! Ставай мяутантом! Кiшки-нiндзя, вперед!
collectible_action_figure_flavor	"""Шредер? Я сама кого хочеш на шматки порву!"""


collectible_fossil	Викопнi
collectible_fossil_desc	Електрична присутнiсть Вектрон вплинула як на живих, так i на викопних мешканцiв шахт.
collectible_fossil_flavor	"""Археологiя завжди докопуэться до глибин! Менi здаэться, чи жарти у нас якiсь доiсторичнi?.."""


collectible_diary	Спелеожурнал
collectible_diary_desc	Щоденник Брiани Гiрсон, вiдважноï дослiдницi, що побувала в найтемнiших куточках Археï. Тут згадуэться про брак хоробрих добровольцiв, готових вести розкопки та дослiджувати далекi територiï. Незважаючи на недоладнi картинки, щоденник навiваэ смуток.
collectible_diary_flavor	"""Коли вкопуэшся у безодню, вона починаэ докопуватися до тебе."""


collectible_fifty	П'ятдесят вiдтiнкiв клiше
collectible_fifty_desc	Вихолощена iсторiя, що складаэться з прiсною сiроï матерiï.
collectible_fifty_flavor	"""- Чому тобi не подобаэться ця книга? запитала Скукота, вдивляючись у похмурi водянистi очi. - Тому що вона мене дiстала усiма п'ятдесятьма вiдтiнками!"""



collectible_wagon_wheel	Колесо фургона
collectible_wagon_wheel_desc	Крiзь дощ i вiтер йшли на пiвдень вiдважнi боти з крихiтних мiстечок. Для багатьох з них мрiя про велике мiсто так i не здiйснилася, згинувши у пiсках Захiдноï пустелi.
collectible_wagon_wheel_flavor	"""Шлях пiонера завжди важкий."""


collectible_black_box	Чорний ящик з ракети
collectible_black_box_desc	Органiзацiя любителiв космосу, особливо купка очкарикiв-всезнайок, просто вдавиться за цей ящик.
collectible_black_box_flavor	"""I так, хлопцi, вiн помаранчевий."""


collectible_red_cloth	Клаптик червоноï матерiï
collectible_red_cloth_desc	Щiльна потерта матерiя. Здаэться, клаптик вiдiрвали в бiйцi. Схоже на ковбойську шийну хустку.
collectible_red_cloth_flavor	"""Пiонери схожi на черепах: доки шию з панцира не висолопиш, вперед не просунешся."""


collectible_cult_list	Список справ фанатика з культу Долi
collectible_cult_list_desc	Знайти божественне втiлення знищення (готово)\nСкласти схему органiзацiï культу (готово)\nЗамiнити випарованих членiв ради (готово)\nВислухати вимоги божества (готово)\nОбезголовити старий iдол (готово)\nПридбати молоко (?)\nНалагодити паломництво (готово)\nПiдготуватися до кiнця свiту (в роботi)
collectible_cult_list_flavor	"""О я почув я одну з чотирьох тварин, яка говорила, нiби голосом грому."""

collectible_amiigo	Статуетка Амiiго
collectible_amiigo_desc	Лише найдостойнiшим з жерцiв храму дозволяэться увiчнювати себе в скульптурi. Ця, е... велична статуя символiзуэ вищу i шановану iстоту.
collectible_amiigo_flavor	"""УВАГА: НЕБЕЗПЕКА УДУШЕННЯ: зарозумiлiсть фiгурки перевищуэ норми безпеки."""


collectible_stone_tablet	Печатка вогню
collectible_stone_tablet_desc	Начерки на давнiй табличцi зображують засновникiв культу як вогнепоклонникiв. Запальна компанiя!
collectible_stone_tablet_flavor	"""Немаэ храму - немаэ дому."""


collectible_orchid	Свiтна орхiдея
collectible_orchid_desc	Отрута, що капаэ зi старих труб, викликала мутацiï у рослин в Ярроу. Деяким нiчним тваринам довелося адаптуватися до нового циркадного ритму.
collectible_orchid_flavor	"""Чудовий подарунок до початку новоï палеозойськоï ери!"""


collectible_manual	Посiбник до складання продукцiï IНКРЕА
collectible_manual_desc	Цей самозбиральний апарат був незамiнний для полiпшення шахтарського обладнання. Його назва звучить не то як нiсенiтниця, не то як прокляття з суворого пiвнiчного королiвства.
collectible_manual_flavor	"""Э iдея - э IНКРЕА!"""


collectible_pills	Жовтi пiгулки
collectible_pills_desc	"Маленькi, жовтенькi - типовi пiлюльки. У рецептi написано: ""Доктор Швестер"" - i намальований значок з великим пальцем вгору."
collectible_pills_flavor	"""Те, що лiкар прописав!"""

collectible_painting	Натюрморт в натурi
collectible_painting_desc	Хочете сказати, що це полотно - втiлення почуття, перетворене творчою думкою? Чи просто картинка подобаэться? Так чи iнакше, без мистецтва свiт був би нудний.
collectible_painting_flavor	"""Я художник. Я так бачу."""

collectible_six_pack	Ящик бузи
collectible_six_pack_desc	Мрiя будь-якого бомжа. Точно вiдомо двi речi: Вони по ньому з розуму сходять, але без нього точно схибнуться! Точняк!
collectible_six_pack_flavor	"""Краще, нiж здаэться!"""

collectible_building_plans	Вiдкинутi плани побудови
collectible_building_plans_desc	Хтось вiдхилив ïх дуже креативно. З iншого боку... Чому б ви вiддали перевагу: неправильно побудованому будинку, готовий завалитися саме тодi, коли нiхто не чекаэ, чи чудово зробленiй устрицi-орiгамi?
collectible_building_plans_flavor	"""Немаэ дому - немаэ проблеми. Так вважаэ будiвельна iнспекцiя Ель Макiно."""

collectible_dumbells	Гантелi Розi
collectible_dumbells_desc	Пропахнули потом i бажанням кинути цю справу.
collectible_dumbells_flavor	"""Гайки не закрутиш - зовсiм розбовтаэшся!"""

collectible_completion_proof	Доказ проходження
collectible_completion_proof_desc	Просимо вибачення за незручностi.
collectible_completion_proof_flavor	"""Як то кажуть: Арбайтен, копайтен i не вiдпочивайтен!"""

# ------ Vectron messages ------
message_pre	>
message_post	_
message_trespasser_text_1	SURGE BOOT: INITIATING THREAT ANALYSIS\n\nDIRECTIVE A, B, COMPILED.  #8F000025.28C40A8\nVCT_SYSTEM_OFFLINE\nAX=000A DIRECTIVE A: BLUE SAVIOR, FAIL LEVEL: CRITICAL BX=7FFF SP=000007C4\nCX=0000 PRE-LOAD DIRECTIVE B: MOON ESCAPE DX=7FFF IP=0800F108\nEX=6060 FX=7FFF XP=080FFFAA\nBACK-UP COMPLETED\nSPACE CAPSULE: SECURE\n\n\nERROR RESULT:
message_trespasser_text_2	ANOMALY DETECTED
message_final_text	DISASTER PROTOCOL\nDIRECTIVE A: BLUE SAVIOR\nINITIATED

message_hell_bedrock_01	TEST RESULT:\nTEST SUBJECT PRESSED 3 BUTTONS\nTEST SUBJECT EXPECTS A...REWARD...?\n\nREWARD INITIATED:\n......o..o..o......\n......I..I..I......\n....(VVVVVVVVV)....\n....l--.--.--.l....\n....l.--.--.--l....\n....l_________l....\n...................\n\nOBSERVATION:\nTEST SUBJECT ENJOYED THE REWARD\n\nEXPECTATION: \nCONTINUED MINIMAL SIGNS OF INTELLIGENCE\n
message_hell_bedrock_02	TEST SUBJECT INITIATED ESCAPE\n\nTEST SESSION: STOPPED\n\n\nDEACTIVATE TEST CHAMBER\n\nALSO: HIDE THE CAKE

# ------ Languages -----
language_english	Украïнська
language_spanish	Español
language_portuguese	Português
language_italian	Italiano
language_german	Deutsch
language_french	Français
language_russian	Усруйське наречiе
language_japanese	Japanese	
